identifier	name	participants	participatingComplex	pubMedIdentifiers
R-HSA-912760	"B-cell linker protein:p(Y700,731,774)-CBL [cytosol]"	uniprot:Q8WV28|uniprot:P22681	-	17202354
R-HSA-912774	"p(Y700,731,774)-CBL:CRK [cytosol]"	uniprot:P46109|uniprot:P46108|uniprot:P22681	-	8649859|8626543
R-HSA-912799	"FYN-like kinases:p(Y731)-CBL:GRB2:Ubiquitinated p85-containing Class 1A PI3Ks [cytosol]"	uniprot:Q92569|uniprot:O00459|uniprot:P27986|uniprot:P42338|uniprot:O00329|uniprot:P42336|uniprot:P43405|uniprot:P07947|uniprot:P08631|uniprot:P07948|uniprot:P06241|uniprot:P22681|uniprot:P62993-1	-	11087752|11994499|18374639
R-HSA-913201	"Cleaved Meiotic Holliday Junction [nucleoplasm]"	uniprot:P40692|uniprot:Q9UHC1|uniprot:P24941|uniprot:Q13315	R-HSA-914134	16322221|9781043|11292842|10928988|16123081
R-HSA-913355	"GM-CSF:GM-CSF receptor alpha subunit:p(Y593, 628)-Bc:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141	R-HSA-912316|R-HSA-913362	-
R-HSA-913357	"IL5 homodimer:IL5RA:p(Y593, 628)-Bc:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344	R-HSA-912316|R-HSA-450056|R-HSA-913383	-
R-HSA-913358	"IL3:IL3R active complex, inactive JAK2, phosphorylated Bc:SHC1 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951|uniprot:P29353	R-HSA-912317|R-HSA-912308|R-HSA-912316|R-HSA-450048	-
R-HSA-913359	"High affinity IL-5 receptor complex dimer, inactive JAK2, p(Y593, 628)-Bc [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344	R-HSA-913357|R-HSA-912316|R-HSA-450056|R-HSA-913383	-
R-HSA-913362	"GM-CSF:GM-CSF receptor alpha subunit [plasma membrane]"	uniprot:P15509|uniprot:P04141	-	2555171|9211889
R-HSA-913363	"IL5 homodimer:IL5RA:Common beta chain:p-JAK2 [plasma membrane]"	uniprot:P05113|uniprot:Q01344|uniprot:P32927|uniprot:O60674	R-HSA-450056|R-HSA-913383|R-HSA-893554	-
R-HSA-913365	"High affinity GM-CSF receptor complex dimer, activated JAK2:p-STAT5 [plasma membrane]"	uniprot:P15509|uniprot:P04141|uniprot:P32927|uniprot:O60674|uniprot:P51692|uniprot:P42229	R-HSA-913379|R-HSA-913443|R-HSA-913362|R-HSA-893554	-
R-HSA-913366	"High affinity IL-5 receptor complex dimer, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344|uniprot:P29353	R-HSA-913359|R-HSA-913357|R-HSA-912316|R-HSA-450056|R-HSA-913383	-
R-HSA-913378	"Interleukin receptor complexes with activated SHC1:SHIP1 [plasma membrane]"	uniprot:P29350|uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951|uniprot:P29353|uniprot:P15509|uniprot:P04141|uniprot:P05113|uniprot:Q01344|uniprot:P52333|uniprot:P31785|uniprot:P23458|uniprot:P01589|uniprot:P14784|uniprot:P60568	-	-
R-HSA-913379	"High affinity GM-CSF receptor complex dimer, activated JAK2 [plasma membrane]"	uniprot:P15509|uniprot:P04141|uniprot:P32927|uniprot:O60674	R-HSA-913443|R-HSA-913362|R-HSA-893554	-
R-HSA-913383	"IL5 homodimer [extracellular region]"	uniprot:P05113	-	8483502
R-HSA-913384	"High affinity GM-CSF receptor complex dimer, inactive JAK2, p(Y593, 628)- Bc [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141	R-HSA-913355|R-HSA-912316|R-HSA-913362	-
R-HSA-913386	"High affinity GM-CSF receptor complex dimer, activated JAK2:STAT5 [plasma membrane]"	uniprot:P51692|uniprot:P42229|uniprot:P15509|uniprot:P04141|uniprot:P32927|uniprot:O60674	R-HSA-913379|R-HSA-913443|R-HSA-913362|R-HSA-893554	-
R-HSA-913387	"High affinity IL-5 receptor complex dimer, inactive JAK2, phosphorylated Bc:SHC1 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344|uniprot:P29353	R-HSA-913359|R-HSA-913357|R-HSA-912316|R-HSA-450056|R-HSA-913383	-
R-HSA-913389	"GM-CSF:GM-CSF receptor alpha subunit:Common beta chain:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141	R-HSA-879945|R-HSA-913362	1702217|1833064|18692472|19436055
R-HSA-913393	"Interleukin receptor complexes with activated SHC1:SHIP1,2 [plasma membrane]"	uniprot:Q92835|uniprot:O15357|uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951|uniprot:P29353|uniprot:P15509|uniprot:P04141|uniprot:P05113|uniprot:Q01344|uniprot:P52333|uniprot:P31785|uniprot:P23458|uniprot:P01589|uniprot:P14784|uniprot:P60568	-	9108392|10570274|9099679|9083021|10194451|7898932|10207047|9852043|9058724
R-HSA-913407	"High affinity IL-5 receptor complex dimer, activated JAK2:STAT5 [plasma membrane]"	uniprot:P51692|uniprot:P42229|uniprot:P05113|uniprot:Q01344|uniprot:P32927|uniprot:O60674	R-HSA-913457|R-HSA-913363|R-HSA-450056|R-HSA-913383|R-HSA-893554	-
R-HSA-913409	"High affinity IL-5 receptor complex dimer, activated JAK2:p-STAT5 [plasma membrane]"	uniprot:P05113|uniprot:Q01344|uniprot:P32927|uniprot:O60674|uniprot:P51692|uniprot:P42229	R-HSA-913457|R-HSA-913363|R-HSA-450056|R-HSA-913383|R-HSA-893554	-
R-HSA-913411	"Interleukin receptor complexes with activated SHC1:SHIP:GRB2 [plasma membrane]"	uniprot:P29350|uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951|uniprot:P29353|uniprot:P15509|uniprot:P04141|uniprot:P05113|uniprot:Q01344|uniprot:P52333|uniprot:P31785|uniprot:P23458|uniprot:P01589|uniprot:P14784|uniprot:P60568|uniprot:P62993-1	R-HSA-913378	9108392|10194451|10207047|7898932
R-HSA-913412	"IL3:IL3R active complex, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951|uniprot:P29353	R-HSA-912317|R-HSA-912308|R-HSA-912316|R-HSA-450048	-
R-HSA-913413	"High affinity GM-CSF receptor complex dimer, inactive JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141	R-HSA-913389|R-HSA-879945|R-HSA-913362	-
R-HSA-913415	"High affinity IL-5 receptor complex dimer, inactive JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344	R-HSA-913423|R-HSA-879945|R-HSA-450056|R-HSA-913383	-
R-HSA-913423	"IL5 homodimer:IL5RA:Common beta chain:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344	R-HSA-879945|R-HSA-450056|R-HSA-913383	1833065|18692472|2065657
R-HSA-913428	"High affinity GM-CSF receptor complex dimer, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141|uniprot:P29353	R-HSA-913384|R-HSA-913355|R-HSA-912316|R-HSA-913362	-
R-HSA-913433	"High affinity GM-CSF receptor complex dimer, inactive JAK2, phosphorylated Bc:SHC1 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141|uniprot:P29353	R-HSA-913384|R-HSA-913355|R-HSA-912316|R-HSA-913362	-
R-HSA-913443	"GM-CSF:GM-CSF receptor alpha subunit:Common beta chain:p-JAK2 [plasma membrane]"	uniprot:P15509|uniprot:P04141|uniprot:P32927|uniprot:O60674	R-HSA-913362|R-HSA-893554	-
R-HSA-913457	"High affinity IL-5 receptor complex dimer, p-JAK2 [plasma membrane]"	uniprot:P05113|uniprot:Q01344|uniprot:P32927|uniprot:O60674	R-HSA-913363|R-HSA-450056|R-HSA-913383|R-HSA-893554	-
R-HSA-913509	"HOP2(TBPIP):MND1 [nucleoplasm]"	uniprot:Q9BWT6|uniprot:Q9P2W1	-	16407260
R-HSA-913524	"p-Y701-STAT1-1 dimer [cytosol]"	uniprot:P42224-1	-	7510216|17351669
R-HSA-913526	"p-Y701-STAT1 dimer [nucleoplasm]"	uniprot:P42224-1	-	7510216
R-HSA-913527	"ISGF3 [nucleoplasm]"	uniprot:P52630|uniprot:P42224-2|uniprot:P42224-1|uniprot:Q00978	R-HSA-909693	17351669
R-HSA-913727	"viral dsRNA:IFIH1 [cytosol]"	uniprot:Q9BYX4	-	17600090|19531363|18591409
R-HSA-913992	"RAP1GAP2:14-3-3beta, zeta [cytosol]"	uniprot:P63104|uniprot:P31946|uniprot:Q684P5	-	15632203|18039662
R-HSA-914021	"High affinity GM-CSF receptor complex dimer, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1:GRB2:GAB2 [plasma membrane]"	uniprot:Q9UQC2|uniprot:P62993-1|uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141|uniprot:P29353	R-HSA-912522|R-HSA-913428|R-HSA-913384|R-HSA-913355|R-HSA-912316|R-HSA-913362	-
R-HSA-914023	"High affinity IL-5 receptor complex dimer, inactive JAK2, p(Y593)-Bc [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344	R-HSA-914069|R-HSA-914033|R-HSA-450056|R-HSA-913383	-
R-HSA-914025	"High affinity GM-CSF receptor complex dimer, inactive JAK2, p(Y593)- Bc [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141	R-HSA-914077|R-HSA-914033|R-HSA-913362	-
R-HSA-914028	"SHP2:GRB2 [cytosol]"	uniprot:Q06124|uniprot:P62993-1	-	7559570|7523381|7522233
R-HSA-914033	"p(Y593)-Bc:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674	-	-
R-HSA-914047	"High affinity IL-5 receptor complex dimer, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1:GRB2:GAB2 [plasma membrane]"	uniprot:Q9UQC2|uniprot:P62993-1|uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344|uniprot:P29353	R-HSA-912522|R-HSA-913366|R-HSA-913359|R-HSA-913357|R-HSA-912316|R-HSA-450056|R-HSA-913383	-
R-HSA-914049	"High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2,p(Y593)-Bc:SHP1, SHP2 [plasma membrane]"	uniprot:P29350|uniprot:Q06124|uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141|uniprot:P08700|uniprot:P26951|uniprot:P05113|uniprot:Q01344	-	9162089
R-HSA-914065	"IL3RA:IL3:p(Y593)-IL3RB:JAK2 [plasma membrane]"	uniprot:P08700|uniprot:P26951|uniprot:P32927|uniprot:O60674	R-HSA-450048|R-HSA-914033	-
R-HSA-914069	"IL5 homodimer:IL5RA:p(Y593)-Bc:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344	R-HSA-914033|R-HSA-450056|R-HSA-913383	-
R-HSA-914077	"GM-CSF:GM-CSF receptor alpha subunit:p(Y593)-Bc:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141	R-HSA-914033|R-HSA-913362	-
R-HSA-914086	"High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2,p(Y593,628)-Bc:SHP1, SHP2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951|uniprot:P05113|uniprot:Q01344|uniprot:P15509|uniprot:P04141|uniprot:P29350|uniprot:Q06124	-	9162089|8943354|7889566|7522233|7528537|8995399
R-HSA-914088	"IL3:IL3R active complex, inactive JAK2, p(Y593)-Bc [plasma membrane]"	uniprot:P08700|uniprot:P26951|uniprot:P32927|uniprot:O60674	R-HSA-914065|R-HSA-450048|R-HSA-914033	-
R-HSA-914109	"MSH4:MSH5 [nucleoplasm]"	uniprot:O15457|uniprot:O43196	-	15304223|17977839
R-HSA-914134	"MLH1:MLH3 [nucleoplasm]"	uniprot:P40692|uniprot:Q9UHC1	-	11292842
R-HSA-914167	"IL3:IL3RA:pS585-IL3RB:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951	R-HSA-914173|R-HSA-450048	-
R-HSA-914168	"High affinity IL-5 receptor complex dimer, inactive JAK2, p(S585)-Common beta chain [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344	R-HSA-914169|R-HSA-914173|R-HSA-450056|R-HSA-913383	-
R-HSA-914169	"IL5 homodimer:IL5RA:p(S585)-Common beta chain:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344	R-HSA-914173|R-HSA-450056|R-HSA-913383	-
R-HSA-914171	"High affinity GM-CSF receptor complex dimer, inactive JAK2, p(S585)-Bc [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141	R-HSA-914178|R-HSA-914173|R-HSA-913362	-
R-HSA-914173	"p-S585-IL3RB:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674	-	-
R-HSA-914175	"High affinity IL-3 receptor complex dimer, inactive JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951	R-HSA-914167|R-HSA-914173|R-HSA-450048	-
R-HSA-914177	"High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2, p(S589)-Bc:14-3-3 zeta:p85-containing Class 1A PI3Ks [plasma membrane]"	uniprot:P63104|uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951|uniprot:P05113|uniprot:Q01344|uniprot:P15509|uniprot:P04141|uniprot:P42338|uniprot:Q92569|uniprot:O00459|uniprot:P27986|uniprot:O00329|uniprot:P42336	R-HSA-914180	10949031|12920017
R-HSA-914178	"GM-CSF:GM-CSF receptor alpha subunit:p(S585)-Common beta chain:JAK2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141	R-HSA-914173|R-HSA-913362	-
R-HSA-914180	"High affinity binding complex dimers of cytokine receptors using Bc, inactive JAK2, p(S589)-Bc:14-3-3 zeta [plasma membrane]"	uniprot:P63104|uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951|uniprot:P05113|uniprot:Q01344|uniprot:P15509|uniprot:P04141	-	10949031|10477722
R-HSA-914209	"p(Y700,731,774)-CBL:CRK:RAPGEF1 [cytosol]"	uniprot:P46109|uniprot:P46108|uniprot:P22681|uniprot:Q13905	R-HSA-912774	9311917|10657627|8626543
R-HSA-915150	"(un)folded protein:(GlcNAc)2 (Man)9 [Golgi lumen]"	chebi:59092	-	10878245|17510649|12655775
R-HSA-916847	"PXLP-K357-ABAT dimer:2Fe-2S [mitochondrial matrix]"	chebi:33739|uniprot:P80404	-	-
R-HSA-917698	"ESCRT-II/Cargo Complex [endosome membrane]"	uniprot:Q96H20|uniprot:Q86VN1|uniprot:Q9BRG1|uniprot:P0CG47|uniprot:P62979|uniprot:P0CG48|uniprot:P62987|chebi:16618	R-HSA-917707|R-HSA-917713	21757351|19345195|15218037
R-HSA-917699	"ESCRT-III/Cargo Complex [endosome membrane]"	uniprot:Q9Y3E7|uniprot:Q96FZ7|uniprot:Q9UQN3|uniprot:O43633|uniprot:Q8WUX9|uniprot:Q96CF2|uniprot:Q9H444|uniprot:Q9BY43|uniprot:P0CG47|uniprot:P62979|uniprot:P0CG48|uniprot:P62987|chebi:16618	R-HSA-917723|R-HSA-917713	16973552|19345195|16371348
R-HSA-917702	"ESCRT-I/Cargo Complex [endosome membrane]"	uniprot:Q96EY5|uniprot:Q9H7P6|uniprot:Q9NZ09|uniprot:Q9UK41|uniprot:Q99816|uniprot:Q86XT2|uniprot:A5D8V6|uniprot:Q9H9H4|uniprot:Q8NEZ2|uniprot:P0CG47|uniprot:P62979|uniprot:P0CG48|uniprot:P62987|chebi:16618	R-HSA-184398|R-HSA-917713	14624836|19345195|15218037
R-HSA-917704	"ESCRT-0/Cargo Complex [endosome membrane]"	uniprot:O75886|uniprot:Q92783|uniprot:O14964|uniprot:P0CG47|uniprot:P62979|uniprot:P0CG48|uniprot:P62987|chebi:16618	R-HSA-917726|R-HSA-917713	-
R-HSA-917707	"ESCRT-II [cytosol]"	uniprot:Q96H20|uniprot:Q86VN1|uniprot:Q9BRG1	-	16973552|19345195|16371348
R-HSA-917712	"Ubiquinated and PIP3 Endosmal Membrane Bound Cargo [endocytic vesicle membrane]"	chebi:16618|uniprot:P0CG48|uniprot:P62979|uniprot:P62987|uniprot:P0CG47	-	11563910|15075231|19345195
R-HSA-917713	"Ubiquinated and PIP3 Endosmal Membrane Bound Cargo [endosome membrane]"	uniprot:P0CG47|uniprot:P62979|uniprot:P0CG48|uniprot:P62987|chebi:16618	-	-
R-HSA-917723	"ESCRT-III [cytosol]"	uniprot:Q9Y3E7|uniprot:Q96FZ7|uniprot:Q9UQN3|uniprot:O43633|uniprot:Q8WUX9|uniprot:Q96CF2|uniprot:Q9H444|uniprot:Q9BY43	-	-
R-HSA-917724	"Vps/Vta1 [cytosol]"	uniprot:Q9NZZ3|uniprot:O75351|uniprot:Q9NP79|uniprot:Q9UN37	-	-
R-HSA-917726	"ESCRT-0 [cytosol]"	uniprot:O75886|uniprot:Q92783|uniprot:O14964	-	14624836|19345195|15218037
R-HSA-917748	"GABA Loaded synaptic vesicle [clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane]"	uniprot:Q9H598|uniprot:P20336|uniprot:P21579|uniprot:Q05329|uniprot:Q99259|uniprot:P63027|uniprot:P11142|uniprot:Q9H3Z4|chebi:59888	-	-
R-HSA-917774	"Docked GABA loaded synaptic vesicle [cytosol]"	uniprot:P61764-1|uniprot:O14810|uniprot:Q86UR5|uniprot:P60880|uniprot:Q9H598|uniprot:P20336|uniprot:P21579|uniprot:Q05329|uniprot:Q99259|uniprot:P63027|uniprot:P11142|uniprot:Q9H3Z4|chebi:59888|uniprot:Q16623	R-HSA-917748	16722236
R-HSA-917784	"TFRC dimer [plasma membrane]"	uniprot:P02786	-	16564538
R-HSA-917799	"holoTF:TFRC dimer [endosome membrane]"	chebi:29034|uniprot:P02787|uniprot:P02786	R-HSA-918029|R-HSA-917971	6309857|6141558
R-HSA-917833	"apoTF:TFRC dimer [plasma membrane]"	uniprot:P02786|uniprot:P02787	R-HSA-917784	6309857|6141558
R-HSA-917834	"holoTF:TFRC dimer [plasma membrane]"	uniprot:P02786|uniprot:P02787|chebi:29034	R-HSA-917784|R-HSA-917889	11800564
R-HSA-917863	"ABCG2 tetramer [plasma membrane]"	uniprot:Q9UNQ0	-	17686774
R-HSA-917889	"holoTF [extracellular region]"	uniprot:P02787|chebi:29034	-	16793765
R-HSA-917912	"apoTF:TFRC dimer [endosome membrane]"	uniprot:P02787|uniprot:P02786	R-HSA-917971	16564538
R-HSA-917916	"CYBRD1:Heme [plasma membrane]"	chebi:17627|uniprot:Q53TN4	-	-
R-HSA-917971	"TFRC dimer [endosome membrane]"	uniprot:P02786	-	-
R-HSA-918029	"holoTF [endosome membrane]"	chebi:29034|uniprot:P02787	-	-
R-HSA-918190	"2xviral dsRNA:2xK63polyUb-DDX58:2xRNF135,TRIM25:2xATP [cytosol]"	uniprot:O95786|chebi:30616|uniprot:Q8IUD6|uniprot:Q14258	-	19484123|20403326|19017631|17392790
R-HSA-918193	"IFNAR2:JAK1:STAT2 [plasma membrane]"	uniprot:P52630|uniprot:P48551-2|uniprot:P23458	-	-
R-HSA-918195	"IFNA/B:IFNAR2:JAK1:STAT2 [plasma membrane]"	uniprot:P05015|uniprot:P01562|uniprot:P01568|uniprot:P05014|uniprot:P01567|uniprot:P32881|uniprot:P01566|uniprot:P01569|uniprot:P01563|uniprot:P01570|uniprot:P01571|uniprot:P05013|uniprot:P01574|uniprot:P52630|uniprot:P48551-2|uniprot:P23458	R-HSA-918193	11786546|15312780|17969444|9121453|12842042|15778442|8156998|10395669|9334213
R-HSA-918196	"viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58:MAVS:K63polyUb-TRAF3:IKK related kinases TBK1/IKK epsilon [mitochondrial outer membrane]"	uniprot:O95786|chebi:30616|uniprot:Q8IUD6|uniprot:Q14258|uniprot:Q9BYX4|uniprot:Q7Z434|uniprot:Q13114|uniprot:Q14164|uniprot:Q9UHD2	R-HSA-918200|R-HSA-918201	16306936|17526488|12692549|16914100|16281057|14703513|9463386|10893229
R-HSA-918197	"TBK1/IKKi:SIKE1 [cytosol]"	uniprot:Q9BRV8|uniprot:Q14164|uniprot:Q9UHD2	-	-
R-HSA-918199	"viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58:MAVS:K63polyUb-TRAF3:IKK related kinases TBK1/IKK epsilon:IRF3,IRF7 [mitochondrial outer membrane]"	uniprot:O95786|chebi:30616|uniprot:Q8IUD6|uniprot:Q14258|uniprot:Q9BYX4|uniprot:Q7Z434|uniprot:Q13114|uniprot:Q14164|uniprot:Q9UHD2|uniprot:Q14653|uniprot:Q92985	R-HSA-918196|R-HSA-918200|R-HSA-918201	12692549|16153868|16846591
R-HSA-918200	"viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58:MAVS:K63polyUb-TRAF3 [mitochondrial outer membrane]"	uniprot:O95786|chebi:30616|uniprot:Q8IUD6|uniprot:Q14258|uniprot:Q9BYX4|uniprot:Q7Z434|uniprot:Q13114	R-HSA-918201	16306936|17190786|16858409
R-HSA-918201	"viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58:MAVS [mitochondrial outer membrane]"	uniprot:O95786|chebi:30616|uniprot:Q8IUD6|uniprot:Q14258|uniprot:Q9BYX4|uniprot:Q7Z434	-	18307765|16125763|19893624|16153868|16127453
R-HSA-918203	"IFIH1:TKFC [cytosol]"	uniprot:Q3LXA3|uniprot:Q9BYX4	-	-
R-HSA-918291	"viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58:MAVS:RIPK1:FADD [mitochondrial outer membrane]"	uniprot:O95786|chebi:30616|uniprot:Q8IUD6|uniprot:Q14258|uniprot:Q9BYX4|uniprot:Q7Z434|uniprot:Q13546|uniprot:Q13158	R-HSA-918201	16127453
R-HSA-921157	"Interleukin receptor complexes with activated SHC1:GRB2:SOS1 [plasma membrane]"	uniprot:Q07889|uniprot:P62993-1|uniprot:P32927|uniprot:O60674|uniprot:P08700|uniprot:P26951|uniprot:P29353|uniprot:P15509|uniprot:P04141|uniprot:P05113|uniprot:Q01344|uniprot:P52333|uniprot:P31785|uniprot:P23458|uniprot:P01589|uniprot:P14784|uniprot:P60568	R-HSA-109797	8119884|1465135|8294403
R-HSA-925458	"NLRP3 elicitors:NLRP3 oligomer:ASC:Procaspase-1 [cytosol]"	uniprot:P29466|chebi:46661|chebi:16336|chebi:30563|uniprot:Q96P20|uniprot:P05067|uniprot:P09616|uniprot:Q9Y2Z0|uniprot:P08238|uniprot:Q9ULZ3	R-HSA-877381	12191486|20303873|11967258
R-HSA-926769	"High affinity IL-5 receptor complex dimer, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1:GRB2:p(Y)-GAB2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344|uniprot:P29353|uniprot:Q9UQC2|uniprot:P62993-1	R-HSA-913366|R-HSA-913359|R-HSA-913357|R-HSA-912316|R-HSA-450056|R-HSA-913383|R-HSA-912528	-
R-HSA-926770	"High affinity GM-CSF receptor complex dimer, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1:GRB2:p(Y)-GAB2 [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141|uniprot:P29353|uniprot:Q9UQC2|uniprot:P62993-1	R-HSA-913428|R-HSA-913384|R-HSA-913355|R-HSA-912316|R-HSA-913362|R-HSA-912528	-
R-HSA-926773	"High affinity GM-CSF receptor complex dimer, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1:GRB2:p(Y)-GAB2:p85-containing Class 1A PI3Ks [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P15509|uniprot:P04141|uniprot:P29353|uniprot:Q9UQC2|uniprot:P62993-1|uniprot:P42338|uniprot:Q92569|uniprot:O00459|uniprot:P27986|uniprot:O00329|uniprot:P42336	R-HSA-926770|R-HSA-913428|R-HSA-913384|R-HSA-913355|R-HSA-912316|R-HSA-913362|R-HSA-912528	-
R-HSA-926774	"High affinity IL-5 receptor complex dimer, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1:GRB2:p(Y)-GAB2:p85-containing Class 1A PI3Ks [plasma membrane]"	uniprot:P32927|uniprot:O60674|uniprot:P05113|uniprot:Q01344|uniprot:P29353|uniprot:Q9UQC2|uniprot:P62993-1|uniprot:P42338|uniprot:Q92569|uniprot:O00459|uniprot:P27986|uniprot:O00329|uniprot:P42336	R-HSA-926769|R-HSA-913366|R-HSA-913359|R-HSA-913357|R-HSA-912316|R-HSA-450056|R-HSA-913383|R-HSA-912528	-
R-HSA-927743	"mRNA Complex with a Premature Termination Codon Preceding an Exon Junction [cytosol]"	uniprot:P11940|uniprot:Q04637|uniprot:P52298|uniprot:Q09161	R-HSA-162460	-
